Sediment grain size distribution (source US Army Corps of Engineers)

 Grain           Cumulative  
 Size       	 Percent
 (mm)	Percent	 Coarser    
 -----  -------  ----------  
 4.000     0.00       0.00  
 3.364     0.26       0.26  
 2.828     0.16       0.42  
 2.378     0.17       0.59  
 2.000     0.22       0.81  
 1.682     0.22       1.03  
 1.414     0.48       1.51  
 1.189     0.76       2.27  
 1.000     0.83       3.10  
 0.841     1.59       4.69  
 0.707     2.10       6.79  
 0.595     2.73       9.52  
 0.500     6.19      15.71  
 0.420     4.45      20.16
 0.354     7.09      27.25
 0.297     9.44      36.69
 0.250    17.41      54.10
 0.210    13.82      67.92
 0.177    15.51      83.43
 0.149     9.92      93.35
 0.125     4.83      98.18
 0.105     1.55      99.73
 0.088     0.16      99.89
 0.074     0.09      99.98
 0.063     0.01      99.99
 0.053     0.01     100.00
